datatime,temperature,wind_speed,precipitation,rain
2023-12-27 00:00:00,2.0,6.7,0.0,0.0
2023-12-27 01:00:00,1.6,6.3,0.0,0.0
2023-12-27 02:00:00,0.4,6.0,0.0,0.0
2023-12-27 03:00:00,1.0,4.0,0.0,0.0
2023-12-27 04:00:00,1.3,3.6,0.0,0.0
2023-12-27 05:00:00,1.3,3.6,0.0,0.0
2023-12-27 06:00:00,1.4,3.1,0.0,0.0
2023-12-27 07:00:00,1.6,3.3,0.0,0.0
2023-12-27 08:00:00,1.8,2.2,0.0,0.0
2023-12-27 09:00:00,1.8,2.7,0.0,0.0
2023-12-27 10:00:00,0.5,6.3,0.0,0.0
2023-12-27 11:00:00,-0.1,11.4,0.0,0.0
2023-12-27 12:00:00,0.9,14.1,0.0,0.0
2023-12-27 13:00:00,1.6,14.7,0.0,0.0
2023-12-27 14:00:00,2.5,15.4,0.0,0.0
2023-12-27 15:00:00,4.2,16.6,0.0,0.0
2023-12-27 16:00:00,4.8,18.9,0.0,0.0
2023-12-27 17:00:00,4.8,18.9,0.0,0.0
2023-12-27 18:00:00,4.8,20.4,0.0,0.0
2023-12-27 19:00:00,4.7,22.0,0.0,0.0
2023-12-27 20:00:00,4.7,21.9,0.0,0.0
2023-12-27 21:00:00,4.3,21.2,0.0,0.0
2023-12-27 22:00:00,3.7,20.8,0.0,0.0
2023-12-27 23:00:00,2.7,20.7,0.0,0.0
